Date,NIFTY50,USDINR,GOLD_INR,GOLD_USD,NIFTYBEES
2022-07-19,16340.5498046875,80.0302963256836,26.226821899414062,1710.0,177.8800048828125
2022-07-20,16520.849609375,79.85590362548828,25.841642379760742,1699.5,179.52999877929688
2022-07-21,16605.25,80.00340270996094,25.268144607543945,1712.699951171875,180.5399932861328
2022-07-22,16719.44921875,79.7759017944336,24.189624786376953,1727.0999755859375,181.88999938964844
2022-07-25,16631.0,79.87680053710938,24.65184783935547,1719.0,181.4600067138672
2022-07-26,16483.849609375,79.72250366210938,24.52345085144043,1717.699951171875,179.91000366210938
2022-07-27,16641.80078125,79.84120178222656,26.132673263549805,1719.0999755859375,181.60000610351562
2022-07-28,16929.599609375,79.84739685058594,25.79884147644043,1750.300048828125,184.17999267578125
2022-07-29,17158.25,79.57150268554688,25.93579864501953,1762.9000244140625,186.5399932861328
2022-08-01,17340.05078125,79.1948013305664,26.18402671813965,1769.0,188.6300048828125
2022-08-02,17345.44921875,78.95570373535156,26.73184585571289,1771.0999755859375,188.6199951171875
2022-08-03,17388.150390625,78.60449981689453,27.741880416870117,1758.0,189.11000061035156
2022-08-04,17382.0,79.11830139160156,28.66633415222168,1788.5,189.1699981689453
2022-08-05,17397.5,79.15489959716797,28.118515014648438,1772.9000244140625,189.25
2022-08-08,17525.099609375,79.41059875488281,28.78617286682129,1786.800048828125,190.7899932861328
2022-08-09,,79.60189819335938,29.205585479736328,1794.0,
2022-08-10,17534.75,79.57839965820312,30.095796585083008,1795.5999755859375,191.0399932861328
2022-08-11,17659.0,79.0978012084961,30.386821746826172,1789.699951171875,192.33999633789062
2022-08-12,17698.150390625,79.61399841308594,30.553743362426758,1798.5999755859375,192.86000061035156
2022-08-15,,79.62760162353516,30.044431686401367,1781.4000244140625,
2022-08-16,17825.25,79.55290222167969,30.29266929626465,1773.199951171875,194.08999633789062
2022-08-17,17944.25,79.14600372314453,30.207069396972656,1760.300048828125,195.5500030517578
2022-08-18,17956.5,79.35970306396484,30.558015823364258,1755.300048828125,195.7100067138672
2022-08-19,17758.44921875,79.7667007446289,29.91604232788086,1747.5999755859375,193.61000061035156
2022-08-22,17490.69921875,79.91790008544922,28.614974975585938,1734.0,190.9499969482422
2022-08-23,17577.5,79.88379669189453,28.923118591308594,1746.800048828125,192.19000244140625
2022-08-24,17604.94921875,79.85449981689453,30.489538192749023,1747.800048828125,192.6300048828125
2022-08-25,17522.44921875,79.79679870605469,31.7392520904541,1757.699951171875,191.77999877929688
2022-08-26,17558.900390625,79.88289642333984,31.379745483398438,1736.0999755859375,191.9199981689453
2022-08-29,17312.900390625,79.95909881591797,31.165754318237305,1736.5999755859375,189.44000244140625
2022-08-30,17759.30078125,79.96790313720703,30.21563148498535,1723.199951171875,193.9199981689453
2022-08-31,,79.68229675292969,26.45793914794922,1712.800048828125,
2022-09-01,17542.80078125,79.54879760742188,23.958513259887695,1696.5999755859375,191.82000732421875
2022-09-02,17539.44921875,79.716796875,24.746002197265625,1709.800048828125,191.61000061035156
2022-09-05,17665.80078125,79.72450256347656,,,192.97999572753906
2022-09-06,17655.599609375,79.78299713134766,23.924274444580078,1700.4000244140625,192.47999572753906
2022-09-07,17624.400390625,79.89510345458984,24.668964385986328,1715.300048828125,192.3699951171875
2022-09-08,17798.75,79.6498031616211,25.45645523071289,1708.0,194.0
2022-09-09,17833.349609375,79.706298828125,25.73103904724121,1716.199951171875,194.60000610351562
2022-09-12,17936.349609375,79.65579986572266,25.73103904724121,1728.0999755859375,195.63999938964844
2022-09-13,18070.05078125,79.35530090332031,25.155298233032227,1705.0,196.9499969482422
2022-09-14,18003.75,79.60240173339844,24.738998413085938,1696.5,196.27000427246094
2022-09-15,17877.400390625,79.45369720458984,23.68495750427246,1665.4000244140625,195.69000244140625
2022-09-16,17530.849609375,79.8490982055664,22.498050689697266,1671.699951171875,191.89999389648438
2022-09-19,17622.25,79.68949890136719,22.825780868530273,1666.199951171875,192.75
2022-09-20,17816.25,79.7074966430664,21.311145782470703,1659.699951171875,194.44000244140625
2022-09-21,17718.349609375,79.76270294189453,21.638874053955078,1664.5999755859375,193.5
2022-09-22,17629.80078125,80.05069732666016,22.896636962890625,1670.800048828125,192.9199981689453
2022-09-23,17327.349609375,81.06220245361328,23.463520050048828,1645.300048828125,189.63999938964844
2022-09-26,17016.30078125,81.25479888916016,22.604341506958008,1623.300048828125,186.2100067138672
2022-09-27,17007.400390625,81.61579895019531,23.73809814453125,1626.699951171875,186.0500030517578
2022-09-28,16858.599609375,81.72460174560547,24.863004684448242,1660.4000244140625,184.47000122070312
2022-09-29,16818.099609375,81.42870330810547,25.084444046020508,1658.5,184.07000732421875
2022-09-30,17094.349609375,81.48059844970703,25.146440505981445,1662.4000244140625,186.8300018310547
2022-10-03,16887.349609375,81.52130126953125,25.88161277770996,1692.9000244140625,184.25
2022-10-04,17274.30078125,81.49500274658203,26.28020477294922,1721.0999755859375,188.2899932861328
2022-10-05,,81.46549987792969,26.129629135131836,1711.4000244140625,
2022-10-06,17331.80078125,81.6488037109375,26.07611846923828,1711.699951171875,188.94000244140625
2022-10-07,17314.650390625,82.3489990234375,25.166486740112305,1700.5,189.19000244140625
2022-10-10,17241.0,82.8322982788086,24.97028923034668,1667.300048828125,188.75
2022-10-11,16983.55078125,82.42070007324219,24.36386489868164,1678.699951171875,185.8699951171875
2022-10-12,17123.599609375,82.2739028930664,24.25685691833496,1670.300048828125,187.2100067138672
2022-10-13,17014.349609375,82.19999694824219,25.13973617553711,1670.0,186.22999572753906
2022-10-14,17185.69921875,82.19210052490234,23.579090118408203,1641.699951171875,188.02000427246094
2022-10-17,17311.80078125,82.41280364990234,24.57790184020996,1657.0,188.8300018310547
2022-10-18,17486.94921875,82.1947021484375,25.291336059570312,1649.0,190.63999938964844
2022-10-19,17512.25,82.2863998413086,24.676002502441406,1627.5,190.8300018310547
2022-10-20,17563.94921875,82.99700164794922,24.8811092376709,1630.800048828125,191.44000244140625
2022-10-21,17576.30078125,82.82569885253906,25.37160301208496,1651.0,191.52000427246094
2022-10-24,17730.75,82.54129791259766,25.612382888793945,1648.699951171875,193.1699981689453
2022-10-25,17656.349609375,82.7614974975586,25.68372917175293,1652.800048828125,192.49000549316406
2022-10-26,,82.44529724121094,26.35257339477539,1664.0,
2022-10-27,17736.94921875,82.04959869384766,26.477426528930664,1660.699951171875,193.4499969482422
2022-10-28,17786.80078125,82.44249725341797,26.86090087890625,1639.5999755859375,193.9600067138672
2022-10-31,18012.19921875,82.23919677734375,27.119522094726562,1635.9000244140625,196.27000427246094
2022-11-01,18145.400390625,82.72899627685547,27.128437042236328,1645.0,197.97999572753906
2022-11-02,18082.849609375,82.68450164794922,26.798471450805664,1645.699951171875,197.41000366210938
2022-11-03,18052.69921875,82.88839721679688,25.487529754638672,1627.300048828125,197.38999938964844
2022-11-04,18117.150390625,82.68180084228516,25.59455108642578,1672.5,197.77000427246094
2022-11-07,18202.80078125,81.9749984741211,24.417373657226562,1676.5,198.6199951171875
2022-11-08,,81.82599639892578,24.97028923034668,1712.0999755859375,
2022-11-09,18157.0,81.40519714355469,28.27885627746582,1710.0999755859375,198.32000732421875
2022-11-10,18028.19921875,81.34380340576172,29.02796173095703,1750.300048828125,196.86000061035156
2022-11-11,18349.69921875,80.48290252685547,29.589792251586914,1766.0,200.22000122070312
2022-11-14,18329.150390625,80.49700164794922,29.152812957763672,1773.5999755859375,200.1699981689453
2022-11-15,18403.400390625,80.99199676513672,29.866254806518555,1773.800048828125,200.91000366210938
2022-11-16,18409.650390625,81.07140350341797,29.019046783447266,1773.0,200.8699951171875
2022-11-17,18343.900390625,81.49530029296875,28.510717391967773,1760.800048828125,200.1999969482422
2022-11-18,18307.650390625,81.52490234375,28.501802444458008,1751.9000244140625,199.9199981689453
2022-11-21,18159.94921875,81.5198974609375,29.233078002929688,1737.4000244140625,198.5500030517578
2022-11-22,18244.19921875,81.72769927978516,30.231889724731445,1738.300048828125,199.22999572753906
2022-11-23,18267.25,81.71499633789062,30.21405029296875,1744.9000244140625,199.50999450683594
2022-11-24,18484.099609375,81.63289642333984,,,201.72000122070312
2022-11-25,18512.75,81.65540313720703,30.579689025878906,1753.300048828125,202.35000610351562
2022-11-28,18562.75,81.6697006225586,29.161731719970703,1740.0999755859375,203.0399932861328
2022-11-29,18618.05078125,81.65029907226562,29.616546630859375,1748.4000244140625,203.42999267578125
2022-11-30,18758.349609375,81.63089752197266,30.766969680786133,1746.0,204.6999969482422
2022-12-01,18812.5,81.3052978515625,30.793716430664062,1801.0999755859375,205.5399932861328
2022-12-02,18696.099609375,81.16220092773438,31.658756256103516,1795.9000244140625,204.80999755859375
2022-12-05,18701.05078125,81.42250061035156,30.69562339782715,1767.4000244140625,204.44000244140625
2022-12-06,18642.75,81.89900207519531,30.490510940551758,1769.300048828125,204.13999938964844
2022-12-07,18560.5,82.37220001220703,30.78479766845703,1785.5,202.8699951171875
2022-12-08,18609.349609375,82.25350189208984,31.373390197753906,1788.699951171875,203.6199951171875
2022-12-09,18496.599609375,82.2791976928711,31.230703353881836,1798.0999755859375,202.47999572753906
2022-12-12,18497.150390625,82.41300201416016,31.953060150146484,1780.5,202.61000061035156
2022-12-13,18608.0,82.64469909667969,29.759231567382812,1813.9000244140625,203.77000427246094
2022-12-14,18660.30078125,82.40249633789062,29.83057975769043,1807.5,204.35000610351562
2022-12-15,18414.900390625,82.50800323486328,29.259830474853516,1777.199951171875,201.5800018310547
2022-12-16,18269.0,82.85790252685547,29.875167846679688,1790.0,200.16000366210938
2022-12-19,18420.44921875,82.72599792480469,30.37458038330078,1787.699951171875,201.6699981689453
2022-12-20,18385.30078125,82.58190155029297,31.33771324157715,1815.9000244140625,201.2100067138672
2022-12-21,18199.099609375,82.63690185546875,31.248538970947266,1815.9000244140625,199.39999389648438
2022-12-22,18127.349609375,82.87860107421875,30.918567657470703,1787.0,198.5500030517578
2022-12-23,17806.80078125,82.8749008178711,30.68670654296875,1795.9000244140625,195.14999389648438
2022-12-26,18014.599609375,82.6041030883789,,,197.22999572753906
